年月,性別,前々月末日現在,出生,死亡,転入等,転出等,前月末日現在,増減
200805,男,,6,17,27,36,11547,24
200805,女,,8,16,22,37,12781,-27
200806,男,11547,5,13,23,20,11543,27
200806,女,12781,6,14,17,18,12773,-13
200807,男,11543,6,12,10,22,11525,18
200807,女,12773,4,17,12,20,12752,-20
200808,男,11525,4,15,22,17,11519,19
200808,女,12752,2,20,20,24,12730,-18
200809,男,11519,4,16,6,16,11497,15
200809,女,12730,8,11,11,16,12722,-11
200810,男,11497,7,12,12,22,11483,11
200810,女,12722,8,12,10,15,12713,-19
200811,男,11483,5,14,17,26,11465,30
200811,女,12713,4,11,14,23,12697,-14
200812,男,11465,3,22,13,21,11438,20
200812,女,12697,5,17,18,25,12678,-22
200901,男,11438,6,14,18,14,11434,16
200901,女,12678,5,13,21,19,12672,-18
200902,男,11434,6,13,16,22,11421,13
200902,女,12672,4,18,12,21,12649,-16
200903,男,11421,4,24,11,17,11395,22
200903,女,12649,4,17,11,24,12623,-21
200904,男,11395,6,13,42,63,11368,35
200904,女,12623,8,15,20,60,12576,-25
200905,男,11368,7,15,32,28,11365,26
200905,女,12576,6,11,27,30,12568,-15
200906,男,11365,7,20,17,23,11346,19
200906,女,12568,10,10,19,22,12565,-23
200907,男,11346,3,17,10,26,11316,12
200907,女,12565,7,16,12,21,12547,-22
200908,男,11316,7,12,13,17,11307,14
200908,女,12547,12,10,18,18,12549,-8
200909,男,11307,5,10,10,15,11297,15
200909,女,12549,8,8,10,17,12542,-12
200910,男,11297,7,9,14,15,11294,17
200910,女,12542,10,12,13,19,12534,-10
200911,男,11294,3,8,19,23,11285,19
200911,女,12534,11,10,8,17,12526,-17
200912,男,11285,6,11,18,12,11286,13
200912,女,12526,6,16,8,20,12504,-16
201001,男,11286,3,24,9,13,11261,10
201001,女,12504,3,12,14,17,12492,-20
201002,男,11261,4,10,14,13,11256,16
201002,女,12492,8,19,11,7,12485,-19
201003,男,11256,7,12,9,20,11240,12
201003,女,12485,9,13,11,21,12471,-17
201004,男,11240,4,21,34,63,11194,26
201004,女,12471,6,16,33,67,12427,-25
201005,男,11194,3,13,13,27,11188,23
201005,女,12427,4,15,14,19,12408,-16
201006,男,11188,7,18,15,17,11175,17
201006,女,12408,4,15,11,16,12392,-20
201007,男,11175,3,17,15,28,11148,-27
201007,女,12392,5,9,13,26,12375,-17
201008,男,11148,4,16,24,14,11146,-2
201008,女,12375,2,8,19,7,12381,6
201009,男,11146,10,13,13,15,11141,-5
201009,女,12381,9,12,24,21,12381,0
201010,男,11141,5,14,14,16,11130,-11
201010,女,12381,4,14,11,16,12366,-15
201011,男,11130,1,10,7,17,11111,-19
201011,女,12366,5,11,13,15,12358,-8
201012,男,11111,3,19,17,13,11099,-12
201012,女,12358,6,16,18,16,12350,-8
201101,男,11099,6,17,7,12,11083,-16
201101,女,12350,6,11,16,16,12345,-5
201102,男,11083,7,22,12,18,11062,-21
201102,女,12345,1,16,11,13,12328,-17
201103,男,11062,3,15,11,20,11041,-21
201103,女,12328,2,16,10,14,12310,-18
201104,男,11041,6,13,31,59,11006,-35
201104,女,12310,4,16,42,40,12300,-10
201105,男,11006,5,13,21,20,10999,-7
201105,女,12300,4,15,22,22,12285,-15
201106,男,10999,7,12,15,21,10988,-11
201106,女,12285,12,16,12,26,12267,-18
201107,男,10988,4,14,17,35,10960,-28
201107,女,12267,7,20,22,28,12248,-19
201108,男,10960,5,15,20,17,10953,-7
201108,女,12248,10,13,23,20,12248,0
201109,男,10953,9,13,13,15,10947,-6
201109,女,12248,3,13,10,18,12230,-18
201110,男,10947,3,12,15,16,10937,-10
201110,女,12230,10,13,14,11,12230,0
201111,男,10937,3,21,21,21,10919,-18
201111,女,12230,9,7,20,17,12235,5
201112,男,10919,5,14,13,9,10914,-5
201112,女,12235,8,14,19,20,12228,-7
201201,男,10914,8,13,13,14,10908,-6
201201,女,12228,3,24,11,13,12205,-23
201202,男,10908,8,18,7,8,10897,-11
201202,女,12205,7,23,11,14,12186,-19
201203,男,10897,3,12,12,11,10889,-8
201203,女,12186,3,22,15,17,12165,-21
201204,男,10889,2,13,42,62,10858,-31
201204,女,12165,3,13,37,48,12144,-21
201205,男,10858,6,14,26,25,10851,-7
201205,女,12144,6,21,15,25,12119,-25
201206,男,10851,4,15,21,18,10843,-8
201206,女,12119,10,23,10,17,12099,-20
201207,男,10843,2,15,14,25,10819,-24
201207,女,12099,2,12,15,19,12085,-14
201208,男,10819,6,17,38,20,10826,7
201208,女,12085,3,6,128,27,12183,98
201209,男,10826,4,17,18,21,10810,-16
201209,女,12183,6,13,17,30,12163,-20
201210,男,10810,8,12,10,24,10792,-18
201210,女,12163,3,14,12,32,12132,-31
201211,男,10792,7,18,18,18,10781,-11
201211,女,12132,6,7,13,16,12128,-4
201212,男,10781,8,12,11,16,10772,-9
201212,女,12128,6,13,14,13,12122,-6
201301,男,10772,7,15,10,21,10753,-19
201301,女,12122,6,18,10,20,12100,-22
201302,男,10753,1,15,11,14,10736,-17
201302,女,12100,2,13,16,17,12088,-12
201303,男,10736,7,15,11,8,10731,-5
